Stock,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,1/1/2018,1172.00,1472.58,1170.51,1450.89,1450.89,96371200
AMZN,2/1/2018,1445.00,1528.70,1265.93,1512.45,1512.45,137784000
AMZN,3/1/2018,1513.60,1617.54,1365.20,1447.34,1447.34,130400100
AMZN,4/1/2018,1417.62,1638.10,1352.88,1566.13,1566.13,129919600
AMZN,5/1/2018,1563.22,1635.00,1546.02,1629.62,1629.62,71615500
AMZN,6/1/2018,1637.03,1763.10,1635.09,1699.80,1699.80,85941300
AMZN,7/1/2018,1682.70,1880.05,1678.06,1777.44,1777.44,97521100
AMZN,8/1/2018,1784.00,2025.57,1776.02,2012.71,2012.71,96575800
AMZN,9/1/2018,2026.50,2050.50,1865.00,2003.00,2003.00,94445500
AMZN,10/1/2018,2021.99,2033.19,1476.36,1598.01,1598.01,183220800
AMZN,11/1/2018,1623.53,1784.00,1420.00,1690.17,1690.17,139290000
AMZN,12/1/2018,1769.46,1778.34,1307.00,1501.97,1501.97,154812700
AMZN,1/1/2019,1465.20,1736.41,1460.93,1718.73,1718.73,134001700
AMZN,2/1/2019,1638.88,1673.06,1566.76,1639.83,1639.83,80936900
AMZN,3/1/2019,1655.13,1823.75,1586.57,1780.75,1780.75,100832200
AMZN,4/1/2019,1800.11,1956.34,1798.73,1926.52,1926.52,81239200
AMZN,5/1/2019,1933.09,1964.40,1772.70,1775.07,1775.07,98214400
AMZN,6/1/2019,1760.01,1935.20,1672.00,1893.63,1893.63,74746500
AMZN,7/1/2019,1922.98,2035.80,1849.44,1866.78,1866.78,73148800
AMZN,8/1/2019,1871.72,1897.92,1743.51,1776.29,1776.29,79771200
AMZN,9/1/2019,1770.00,1853.66,1709.22,1735.91,1735.91,61172900
AMZN,10/1/2019,1746.00,1798.85,1685.06,1776.66,1776.66,70360500
AMZN,11/1/2019,1788.01,1824.69,1722.71,1800.80,1800.80,52076200
AMZN,12/1/2019,1804.40,1901.40,1735.00,1847.84,1847.84,68149600
AMZN,1/1/2020,1875.00,2055.72,1815.34,2008.72,2008.72,84698300
AMZN,2/1/2020,2010.60,2185.95,1811.13,1883.75,1883.75,92510100
AMZN,3/1/2020,1906.49,1996.33,1626.03,1949.72,1949.72,163809100
AMZN,4/1/2020,1932.97,2475.00,1889.15,2474.00,2474.00,124609800
AMZN,5/1/2020,2336.80,2525.45,2256.38,2442.37,2442.37,82584400
AMZN,6/1/2020,2448.00,2796.00,2437.13,2758.82,2758.82,87818300
AMZN,7/1/2020,2757.99,3344.29,2754.00,3164.68,3164.68,127502000
AMZN,8/1/2020,3180.51,3495.00,3073.00,3450.96,3450.96,83516600
AMZN,9/1/2020,3489.58,3552.25,2871.00,3148.73,3148.73,115899300
AMZN,10/1/2020,3208.00,3496.24,3019.00,3036.15,3036.15,116226100
AMZN,11/1/2020,3061.74,3366.80,2950.12,3168.04,3168.04,90810500
AMZN,12/1/2020,3188.50,3350.65,3072.82,3256.93,3256.93,77556200
AMZN,1/1/2021,3270.00,3363.89,3086.00,3206.20,3206.20,71528900
AMZN,2/1/2021,3242.36,3434.00,3036.70,3092.93,3092.93,72107000
AMZN,3/1/2021,3127.89,3182.00,2881.00,3094.08,3094.08,78188000
AMZN,4/1/2021,3117.94,3554.00,3115.55,3467.42,3467.42,76839600
AMZN,5/1/2021,3484.73,3486.65,3127.37,3223.07,3223.07,75183900
AMZN,6/1/2021,3243.50,3524.86,3172.20,3440.16,3440.16,67011000
AMZN,7/1/2021,3434.61,3773.08,3306.98,3327.59,3327.59,83720800
AMZN,8/1/2021,3353.10,3472.58,3175.76,3470.79,3470.79,62813700
AMZN,9/1/2021,3496.40,3549.99,3402.01,3462.52,3462.52,34694200
AMZN,9/17/2021,3488.41,3497.41,3452.13,3462.52,3462.52,4616556
APPL,6/1/1997,0.15,0.15,0.13,0.13,0.11,2572304000
APPL,7/1/1997,0.12,0.16,0.11,0.16,0.13,6782372800
APPL,8/1/1997,0.16,0.26,0.16,0.19,0.17,17675705600
APPL,9/1/1997,0.20,0.21,0.19,0.19,0.17,3606075200
APPL,10/1/1997,0.19,0.22,0.14,0.15,0.13,6430043200
APPL,11/1/1997,0.16,0.19,0.15,0.16,0.14,5547483200
APPL,12/1/1997,0.16,0.16,0.11,0.12,0.10,5097792000
APPL,1/1/1998,0.12,0.18,0.12,0.16,0.14,10211577600
APPL,2/1/1998,0.17,0.21,0.16,0.21,0.18,7354166400
APPL,3/1/1998,0.21,0.25,0.19,0.25,0.21,10625977600
APPL,4/1/1998,0.24,0.26,0.22,0.24,0.21,8081886400
APPL,5/1/1998,0.25,0.28,0.23,0.24,0.20,6803339200
APPL,6/1/1998,0.24,0.26,0.23,0.26,0.22,3909841600
APPL,7/1/1998,0.26,0.34,0.25,0.31,0.27,10927660800
APPL,8/1/1998,0.31,0.39,0.28,0.28,0.24,13220872000
APPL,9/1/1998,0.28,0.36,0.27,0.34,0.29,8080318400
APPL,10/1/1998,0.33,0.37,0.25,0.33,0.28,12930926400
APPL,11/1/1998,0.33,0.35,0.28,0.29,0.24,10123523200
APPL,12/1/1998,0.29,0.37,0.28,0.37,0.31,12924105600
APPL,1/1/1999,0.38,0.42,0.33,0.37,0.32,15127403200
APPL,2/1/1999,0.37,0.37,0.31,0.31,0.27,8116516800
APPL,3/1/1999,0.31,0.33,0.29,0.32,0.28,9951995200
APPL,4/1/1999,0.32,0.42,0.30,0.41,0.35,15888969600
APPL,5/1/1999,0.41,0.45,0.37,0.39,0.34,8908905600
APPL,6/1/1999,0.40,0.44,0.38,0.41,0.36,6918620800
APPL,7/1/1999,0.41,0.51,0.40,0.50,0.43,11466582400
APPL,8/1/1999,0.50,0.59,0.47,0.58,0.50,9244603200
APPL,9/1/1999,0.60,0.72,0.51,0.57,0.49,18967468800
APPL,10/1/1999,0.55,0.72,0.53,0.72,0.61,14468496000
APPL,11/1/1999,0.71,0.93,0.69,0.87,0.75,8624929600
APPL,12/1/1999,0.90,1.05,0.81,0.92,0.79,9418214400
APPL,1/1/2000,0.94,1.08,0.77,0.93,0.80,12555177600
APPL,2/1/2000,0.93,1.07,0.87,1.02,0.88,7319782400
APPL,3/1/2000,1.06,1.34,1.02,1.21,1.04,8698356800
APPL,4/1/2000,1.21,1.25,0.94,1.11,0.95,8662404800
